"","city","cityid","tempreture","WD","SD","WSE","time","t_json","degree","province","y.end","x.end"
"74","\u5317\u4eac",101010100,-2,"\u4e1c\u5317\u98ce",0.75,1,2015-01-13 09:40:00,1421113200,45,"\u5317\u4eac\u5e02",1.08838834764832,2015-01-13 09:47:20
"81","\u5317\u4eac",101010100,-4,"\u4e1c\u5317\u98ce",0.8,1,2015-01-13 08:40:00,1421109600,45,"\u5317\u4eac\u5e02",1.08838834764832,2015-01-13 08:47:20
"87","\u5317\u4eac",101010100,-5,"\u4e1c\u5317\u98ce",0.85,1,2015-01-13 07:40:00,1421106000,45,"\u5317\u4eac\u5e02",1.08838834764832,2015-01-13 07:47:20
"88","\u5317\u4eac",101010100,0,"\u4e1c\u5317\u98ce",0.69,2,2015-01-13 10:40:00,1421116800,45,"\u5317\u4eac\u5e02",2.08838834764832,2015-01-13 10:47:20
"89","\u5317\u4eac",101010100,1,"\u4e1c\u5317\u98ce",0.53,1,2015-01-13 17:40:00,1421142000,45,"\u5317\u4eac\u5e02",1.08838834764832,2015-01-13 17:47:20
"90","\u5317\u4eac",101010100,1,"\u4e1c\u5317\u98ce",0.59,2,2015-01-13 11:40:00,1421120400,45,"\u5317\u4eac\u5e02",2.08838834764832,2015-01-13 11:47:20
"91","\u5317\u4eac",101010100,1,"\u4e1c\u98ce",0.56,1,2015-01-13 18:45:00,1421145900,90,"\u5317\u4eac\u5e02",1.125,2015-01-13 18:45:00
"92","\u5317\u4eac",101010100,2,"\u4e1c\u98ce",0.54,2,2015-01-13 12:40:00,1421124000,90,"\u5317\u4eac\u5e02",2.125,2015-01-13 12:40:00
"93","\u5317\u4eac",101010100,3,"\u4e1c\u5357\u98ce",0.47,2,2015-01-13 16:40:00,1421138400,135,"\u5317\u4eac\u5e02",2.08838834764832,2015-01-13 16:32:39
"94","\u5317\u4eac",101010100,3,"\u4e1c\u98ce",0.46,2,2015-01-13 15:45:00,1421135100,90,"\u5317\u4eac\u5e02",2.125,2015-01-13 15:45:00
"95","\u5317\u4eac",101010100,3,"\u4e1c\u98ce",0.47,2,2015-01-13 14:40:00,1421131200,90,"\u5317\u4eac\u5e02",2.125,2015-01-13 14:40:00
"96","\u5317\u4eac",101010100,3,"\u4e1c\u98ce",0.51,1,2015-01-13 13:40:00,1421127600,90,"\u5317\u4eac\u5e02",1.125,2015-01-13 13:40:00
